interview_id,application_id,round_number,interview_type,score,result,interviewer_feedback,duration_minutes
INT0002675,APP001534,4,Technical,58.5,On Hold,Good Communication,30
INT0002676,APP001535,1,Coding,35.1,Pass,Good Communication,45
INT0002677,APP001538,1,Coding,65.9,On Hold,Average Performance,60
INT0002678,APP001539,1,Case Study,53.0,On Hold,Average Performance,90
INT0002679,APP001539,2,Aptitude,50.3,Pass,Strong Technical Skills,120
INT0002680,APP001539,3,HR,97.3,Pass,Average Performance,60
INT0002681,APP001540,1,Aptitude,87.8,On Hold,Good Communication,45
INT0002682,APP001542,1,Group Discussion,45.4,Fail,Needs Improvement,60
INT0002683,APP001542,2,Coding,81.1,Fail,Excellent Problem Solving,120
INT0002684,APP001542,3,Coding,50.4,On Hold,Needs Improvement,60
INT0002685,APP001543,1,Group Discussion,90.7,Pass,Good Communication,30
INT0002686,APP001543,2,Case Study,40.1,Fail,Good Communication,90
INT0002687,APP001544,1,HR,52.8,Fail,Average Performance,60
INT0002688,APP001544,2,Aptitude,46.8,Fail,Excellent Problem Solving,30
INT0002689,APP001544,3,Technical,62.7,On Hold,Excellent Problem Solving,45
INT0002690,APP001544,4,Coding,79.4,On Hold,Excellent Problem Solving,45
INT0002691,APP001545,1,Aptitude,91.6,On Hold,Good Communication,60
INT0002692,APP001545,2,Group Discussion,89.0,Fail,Good Communication,60
INT0002693,APP001547,1,Technical,47.5,On Hold,Lacks Domain Knowledge,60
INT0002694,APP001547,2,HR,34.6,On Hold,Needs Improvement,30
INT0002695,APP001547,3,Case Study,55.8,Fail,Good Communication,120
INT0002696,APP001547,4,Group Discussion,69.6,On Hold,Average Performance,30
INT0002697,APP001548,1,Group Discussion,67.6,On Hold,Strong Technical Skills,120
INT0002698,APP001551,1,HR,88.0,On Hold,Needs Improvement,90
INT0002699,APP001553,1,Group Discussion,50.6,Fail,Excellent Problem Solving,30
INT0002700,APP001554,1,Aptitude,31.0,Fail,Good Communication,90
INT0002701,APP001554,2,Coding,95.0,Pass,Average Performance,120
INT0002702,APP001554,3,Group Discussion,59.2,On Hold,Lacks Domain Knowledge,45
INT0002703,APP001554,4,Technical,37.1,On Hold,Strong Technical Skills,60
INT0002704,APP001555,1,HR,46.5,On Hold,Good Communication,60
INT0002705,APP001555,2,Group Discussion,68.4,Fail,Good Communication,120
INT0002706,APP001555,3,Group Discussion,85.4,Pass,Average Performance,30
INT0002707,APP001555,4,Coding,67.8,On Hold,Average Performance,45
INT0002708,APP001556,1,Coding,80.8,On Hold,Needs Improvement,90
INT0002709,APP001556,2,Group Discussion,42.0,Fail,Lacks Domain Knowledge,90
INT0002710,APP001556,3,HR,52.6,Pass,Good Communication,30
INT0002711,APP001557,1,Aptitude,84.9,Pass,Needs Improvement,30
INT0002712,APP001557,2,Coding,50.4,Pass,Average Performance,30
INT0002713,APP001557,3,Group Discussion,72.3,Fail,Lacks Domain Knowledge,120
INT0002714,APP001557,4,HR,97.0,On Hold,Good Communication,30
INT0002715,APP001558,1,HR,43.9,Pass,Needs Improvement,30
INT0002716,APP001558,2,Group Discussion,77.0,Fail,Lacks Domain Knowledge,45
INT0002717,APP001560,1,Case Study,72.4,Fail,Needs Improvement,60
INT0002718,APP001560,2,Group Discussion,55.3,Pass,Average Performance,120
INT0002719,APP001560,3,Case Study,58.7,Pass,Excellent Problem Solving,60
INT0002720,APP001560,4,Aptitude,96.3,Fail,Strong Technical Skills,30
INT0002721,APP001561,1,Technical,30.4,Pass,Excellent Problem Solving,45
INT0002722,APP001561,2,Technical,77.2,Fail,Strong Technical Skills,45
INT0002723,APP001561,3,Coding,73.1,Pass,Excellent Problem Solving,30
INT0002724,APP001562,1,Coding,92.0,Pass,Needs Improvement,120
INT0002725,APP001563,1,Coding,71.4,On Hold,Good Communication,45
INT0002726,APP001563,2,Technical,84.4,Pass,Strong Technical Skills,30
INT0002727,APP001564,1,HR,52.1,Pass,Excellent Problem Solving,30
INT0002728,APP001564,2,Case Study,72.4,Fail,Needs Improvement,120
INT0002729,APP001564,3,Technical,44.3,Pass,Good Communication,30
INT0002730,APP001564,4,Aptitude,88.1,Fail,Good Communication,60
INT0002731,APP001566,1,Technical,56.8,Pass,Needs Improvement,45
INT0002732,APP001566,2,Coding,91.3,Pass,Strong Technical Skills,120
INT0002733,APP001566,3,Technical,74.3,On Hold,Lacks Domain Knowledge,120
INT0002734,APP001566,4,Technical,35.1,Pass,Excellent Problem Solving,120
INT0002735,APP001567,1,Technical,49.8,Fail,Needs Improvement,60
INT0002736,APP001567,2,Technical,49.4,Fail,Lacks Domain Knowledge,120
INT0002737,APP001567,3,Technical,54.2,Fail,Lacks Domain Knowledge,30
INT0002738,APP001567,4,Case Study,41.4,On Hold,Lacks Domain Knowledge,45
INT0002739,APP001568,1,Technical,34.9,Pass,Average Performance,60
INT0002740,APP001568,2,HR,92.9,Pass,Strong Technical Skills,120
INT0002741,APP001568,3,Group Discussion,52.7,Fail,Excellent Problem Solving,60
INT0002742,APP001568,4,Group Discussion,68.2,Fail,Needs Improvement,30
INT0002743,APP001569,1,Technical,99.7,On Hold,Excellent Problem Solving,45
INT0002744,APP001570,1,Group Discussion,72.0,On Hold,Needs Improvement,60
INT0002745,APP001571,1,Case Study,75.5,On Hold,Good Communication,120
INT0002746,APP001571,2,Technical,73.1,Fail,Lacks Domain Knowledge,60
INT0002747,APP001571,3,HR,51.3,Fail,Strong Technical Skills,60
INT0002748,APP001572,1,Case Study,49.9,Pass,Lacks Domain Knowledge,90
INT0002749,APP001572,2,Technical,86.7,Pass,Strong Technical Skills,45
INT0002750,APP001572,3,Technical,100.0,Pass,Good Communication,90
INT0002751,APP001573,1,Group Discussion,72.3,Fail,Strong Technical Skills,45
INT0002752,APP001573,2,HR,84.9,On Hold,Strong Technical Skills,120
INT0002753,APP001574,1,HR,61.5,On Hold,Strong Technical Skills,60
INT0002754,APP001574,2,Aptitude,47.2,Pass,Good Communication,60
INT0002755,APP001574,3,Group Discussion,59.4,Fail,Excellent Problem Solving,60
INT0002756,APP001574,4,HR,31.4,Fail,Strong Technical Skills,60
INT0002757,APP001575,1,Technical,41.5,On Hold,Strong Technical Skills,60
INT0002758,APP001575,2,Aptitude,61.4,On Hold,Needs Improvement,30
INT0002759,APP001575,3,Technical,44.0,Fail,Needs Improvement,120
INT0002760,APP001576,1,Group Discussion,32.2,Fail,Good Communication,30
INT0002761,APP001576,2,Group Discussion,35.9,Fail,Strong Technical Skills,45
INT0002762,APP001578,1,Case Study,32.0,Pass,Good Communication,30
INT0002763,APP001579,1,Coding,73.6,Fail,Needs Improvement,30
INT0002764,APP001579,2,Coding,74.2,On Hold,Needs Improvement,30
INT0002765,APP001579,3,HR,36.0,Fail,Average Performance,120
INT0002766,APP001579,4,Technical,36.6,On Hold,Average Performance,90
INT0002767,APP001580,1,Coding,52.5,Pass,Good Communication,90
INT0002768,APP001581,1,Group Discussion,99.5,On Hold,Lacks Domain Knowledge,120
INT0002769,APP001583,1,Group Discussion,42.0,Pass,Needs Improvement,45
INT0002770,APP001585,1,Group Discussion,69.7,Fail,Strong Technical Skills,30
INT0002771,APP001585,2,Aptitude,37.5,Pass,Excellent Problem Solving,120
INT0002772,APP001586,1,Aptitude,55.3,Fail,Lacks Domain Knowledge,45
INT0002773,APP001586,2,Case Study,76.4,On Hold,Average Performance,30
INT0002774,APP001586,3,Aptitude,86.2,On Hold,Good Communication,90
INT0002775,APP001586,4,Group Discussion,64.2,On Hold,Average Performance,30
INT0002776,APP001587,1,Case Study,41.2,Pass,Strong Technical Skills,60
INT0002777,APP001587,2,Coding,87.3,On Hold,Needs Improvement,120
INT0002778,APP001587,3,Aptitude,77.9,On Hold,Average Performance,120
INT0002779,APP001587,4,Technical,94.1,On Hold,Average Performance,90
INT0002780,APP001588,1,Aptitude,50.5,On Hold,Average Performance,90
INT0002781,APP001589,1,Aptitude,37.2,Fail,Needs Improvement,60
INT0002782,APP001589,2,Group Discussion,30.6,Pass,Good Communication,30
INT0002783,APP001590,1,HR,44.6,Pass,Strong Technical Skills,60
INT0002784,APP001590,2,Coding,40.9,Fail,Strong Technical Skills,90
INT0002785,APP001590,3,Group Discussion,53.3,Fail,Average Performance,45
INT0002786,APP001591,1,Group Discussion,31.9,Fail,Excellent Problem Solving,60
INT0002787,APP001593,1,Technical,53.5,Fail,Good Communication,90
INT0002788,APP001593,2,HR,90.8,Pass,Lacks Domain Knowledge,90
INT0002789,APP001596,1,Technical,33.0,Pass,Average Performance,60
INT0002790,APP001597,1,Aptitude,78.3,On Hold,Good Communication,120
INT0002791,APP001597,2,Technical,36.4,Fail,Strong Technical Skills,60
INT0002792,APP001597,3,Group Discussion,61.9,Fail,Needs Improvement,90
INT0002793,APP001599,1,Coding,48.6,On Hold,Needs Improvement,120
INT0002794,APP001599,2,Technical,95.0,Pass,Average Performance,45
INT0002795,APP001599,3,Group Discussion,68.8,On Hold,Strong Technical Skills,90
INT0002796,APP001600,1,Case Study,32.4,Fail,Excellent Problem Solving,120
INT0002797,APP001600,2,Coding,32.6,Pass,Lacks Domain Knowledge,60
INT0002798,APP001600,3,Coding,74.7,On Hold,Excellent Problem Solving,120
INT0002799,APP001601,1,HR,87.1,Pass,Good Communication,60
INT0002800,APP001601,2,Aptitude,70.7,Pass,Lacks Domain Knowledge,120
INT0002801,APP001604,1,Coding,85.4,On Hold,Excellent Problem Solving,60
INT0002802,APP001604,2,Case Study,63.7,On Hold,Lacks Domain Knowledge,120
INT0002803,APP001607,1,Technical,41.2,On Hold,Strong Technical Skills,45
INT0002804,APP001609,1,Coding,96.7,Fail,Excellent Problem Solving,120
INT0002805,APP001610,1,Aptitude,71.2,Fail,Needs Improvement,45
INT0002806,APP001610,2,Aptitude,78.2,Fail,Excellent Problem Solving,30
INT0002807,APP001611,1,HR,85.2,On Hold,Lacks Domain Knowledge,30
INT0002808,APP001611,2,Case Study,64.9,On Hold,Excellent Problem Solving,30
INT0002809,APP001611,3,Aptitude,83.1,On Hold,Lacks Domain Knowledge,90
INT0002810,APP001613,1,Group Discussion,42.1,Pass,Strong Technical Skills,30
INT0002811,APP001613,2,Technical,60.0,Fail,Average Performance,60
INT0002812,APP001613,3,HR,66.0,On Hold,Good Communication,60
INT0002813,APP001614,1,Group Discussion,73.1,Fail,Lacks Domain Knowledge,120
INT0002814,APP001614,2,Technical,35.5,Pass,Lacks Domain Knowledge,30
INT0002815,APP001614,3,HR,34.7,Fail,Excellent Problem Solving,60
INT0002816,APP001615,1,Group Discussion,72.6,Fail,Strong Technical Skills,30
INT0002817,APP001615,2,Case Study,72.0,Fail,Lacks Domain Knowledge,120
INT0002818,APP001616,1,Aptitude,95.3,Fail,Strong Technical Skills,120
INT0002819,APP001617,1,Aptitude,90.2,Fail,Excellent Problem Solving,45
INT0002820,APP001617,2,HR,94.9,On Hold,Excellent Problem Solving,90
INT0002821,APP001618,1,Aptitude,93.1,On Hold,Good Communication,120
INT0002822,APP001618,2,Technical,95.7,Fail,Good Communication,90
INT0002823,APP001619,1,Case Study,94.2,Fail,Excellent Problem Solving,90
INT0002824,APP001619,2,Technical,59.8,Pass,Needs Improvement,60
INT0002825,APP001619,3,Coding,92.9,Fail,Needs Improvement,60
INT0002826,APP001620,1,Technical,39.7,Fail,Good Communication,90
INT0002827,APP001620,2,Group Discussion,30.6,Pass,Average Performance,30
INT0002828,APP001624,1,Aptitude,38.7,Pass,Excellent Problem Solving,30
INT0002829,APP001624,2,Technical,30.4,Pass,Good Communication,90
INT0002830,APP001625,1,Technical,54.9,Pass,Excellent Problem Solving,120
INT0002831,APP001625,2,Technical,46.9,On Hold,Average Performance,120
INT0002832,APP001627,1,Group Discussion,62.6,Fail,Average Performance,120
INT0002833,APP001627,2,Group Discussion,97.2,Pass,Good Communication,30
INT0002834,APP001628,1,Group Discussion,70.2,Fail,Good Communication,60
INT0002835,APP001629,1,Group Discussion,38.6,Pass,Needs Improvement,60
INT0002836,APP001630,1,Coding,68.5,Fail,Excellent Problem Solving,30
INT0002837,APP001630,2,Case Study,95.8,Pass,Excellent Problem Solving,120
INT0002838,APP001630,3,HR,87.1,Pass,Needs Improvement,120
INT0002839,APP001632,1,Technical,91.2,On Hold,Excellent Problem Solving,45
INT0002840,APP001632,2,Group Discussion,65.1,On Hold,Average Performance,60
INT0002841,APP001632,3,HR,92.7,On Hold,Good Communication,90
INT0002842,APP001633,1,Case Study,64.1,Pass,Average Performance,90
INT0002843,APP001633,2,Aptitude,59.2,On Hold,Average Performance,90
INT0002844,APP001634,1,Aptitude,78.4,Pass,Good Communication,90
INT0002845,APP001634,2,Aptitude,86.3,Fail,Excellent Problem Solving,60
INT0002846,APP001634,3,Case Study,73.0,On Hold,Needs Improvement,120
INT0002847,APP001635,1,Group Discussion,54.4,On Hold,Excellent Problem Solving,60
INT0002848,APP001636,1,Group Discussion,34.2,On Hold,Needs Improvement,60
INT0002849,APP001636,2,Aptitude,37.1,On Hold,Average Performance,120
INT0002850,APP001638,1,Technical,69.7,Fail,Lacks Domain Knowledge,30
INT0002851,APP001638,2,Aptitude,64.1,Pass,Strong Technical Skills,45
INT0002852,APP001638,3,Case Study,43.3,Pass,Lacks Domain Knowledge,45
INT0002853,APP001640,1,Technical,39.6,Pass,Excellent Problem Solving,45
INT0002854,APP001642,1,Group Discussion,47.1,Pass,Excellent Problem Solving,120
INT0002855,APP001643,1,Group Discussion,93.4,Pass,Average Performance,90
INT0002856,APP001643,2,HR,60.9,On Hold,Excellent Problem Solving,90
INT0002857,APP001645,1,Aptitude,58.2,Fail,Needs Improvement,45
INT0002858,APP001645,2,Case Study,94.4,On Hold,Excellent Problem Solving,45
INT0002859,APP001645,3,Group Discussion,74.9,On Hold,Lacks Domain Knowledge,45
INT0002860,APP001649,1,Coding,78.9,On Hold,Excellent Problem Solving,120
INT0002861,APP001649,2,Technical,69.2,Fail,Lacks Domain Knowledge,90
INT0002862,APP001649,3,Case Study,91.8,Fail,Average Performance,90
INT0002863,APP001650,1,HR,98.0,Fail,Needs Improvement,45
INT0002864,APP001650,2,Case Study,95.5,Fail,Strong Technical Skills,30
INT0002865,APP001652,1,Case Study,44.4,Fail,Needs Improvement,120
INT0002866,APP001652,2,Technical,32.6,On Hold,Good Communication,90
INT0002867,APP001652,3,Technical,89.2,Pass,Lacks Domain Knowledge,45
INT0002868,APP001652,4,Aptitude,45.7,Fail,Lacks Domain Knowledge,30
INT0002869,APP001653,1,Coding,56.7,Fail,Excellent Problem Solving,30
INT0002870,APP001653,2,Technical,75.0,Fail,Excellent Problem Solving,30
INT0002871,APP001653,3,Technical,96.0,Pass,Lacks Domain Knowledge,60
INT0002872,APP001654,1,Group Discussion,52.1,On Hold,Strong Technical Skills,45
INT0002873,APP001654,2,HR,97.2,On Hold,Excellent Problem Solving,30
INT0002874,APP001654,3,Group Discussion,44.4,Pass,Excellent Problem Solving,90
INT0002875,APP001655,1,Aptitude,39.8,Pass,Average Performance,60
INT0002876,APP001658,1,Aptitude,39.7,On Hold,Good Communication,60
INT0002877,APP001658,2,Case Study,99.7,On Hold,Lacks Domain Knowledge,30
INT0002878,APP001659,1,Technical,49.6,Pass,Needs Improvement,60
INT0002879,APP001659,2,HR,50.6,On Hold,Lacks Domain Knowledge,120
INT0002880,APP001659,3,Aptitude,96.5,Fail,Strong Technical Skills,60
INT0002881,APP001661,1,Technical,64.3,Fail,Needs Improvement,45
INT0002882,APP001662,1,Technical,87.8,Fail,Strong Technical Skills,120
INT0002883,APP001662,2,Case Study,79.8,On Hold,Lacks Domain Knowledge,30
INT0002884,APP001663,1,Case Study,76.3,Fail,Strong Technical Skills,45
INT0002885,APP001663,2,Coding,95.4,On Hold,Needs Improvement,90
INT0002886,APP001663,3,Case Study,97.0,Fail,Excellent Problem Solving,90
INT0002887,APP001663,4,Technical,72.6,Fail,Lacks Domain Knowledge,30
INT0002888,APP001665,1,HR,48.7,Pass,Excellent Problem Solving,60
INT0002889,APP001666,1,Coding,98.8,On Hold,Strong Technical Skills,45
INT0002890,APP001666,2,Coding,67.5,Pass,Lacks Domain Knowledge,90
INT0002891,APP001666,3,Case Study,67.9,Fail,Needs Improvement,90
INT0002892,APP001666,4,Group Discussion,54.3,On Hold,Needs Improvement,45
INT0002893,APP001667,1,Coding,87.8,Fail,Good Communication,45
INT0002894,APP001667,2,Coding,38.1,Pass,Needs Improvement,45
INT0002895,APP001667,3,Group Discussion,32.3,Pass,Average Performance,45
INT0002896,APP001668,1,Coding,86.3,On Hold,Strong Technical Skills,60
INT0002897,APP001668,2,Case Study,96.5,On Hold,Lacks Domain Knowledge,45
INT0002898,APP001668,3,Technical,52.1,On Hold,Lacks Domain Knowledge,30
INT0002899,APP001671,1,Aptitude,83.6,Fail,Strong Technical Skills,120
INT0002900,APP001671,2,Technical,52.6,Fail,Needs Improvement,45
INT0002901,APP001671,3,Group Discussion,58.2,Pass,Strong Technical Skills,90
INT0002902,APP001671,4,HR,56.4,Fail,Average Performance,120
INT0002903,APP001672,1,HR,55.4,On Hold,Good Communication,90
INT0002904,APP001672,2,HR,42.7,Fail,Excellent Problem Solving,60
INT0002905,APP001672,3,Technical,87.1,On Hold,Average Performance,90
INT0002906,APP001674,1,Technical,52.7,Fail,Needs Improvement,45
INT0002907,APP001675,1,Case Study,68.9,Pass,Strong Technical Skills,60
INT0002908,APP001675,2,Coding,86.2,On Hold,Strong Technical Skills,60
INT0002909,APP001675,3,Group Discussion,65.3,On Hold,Good Communication,120
INT0002910,APP001675,4,HR,89.0,Fail,Lacks Domain Knowledge,45
INT0002911,APP001676,1,Case Study,61.8,Pass,Needs Improvement,30
INT0002912,APP001676,2,Group Discussion,31.6,Fail,Excellent Problem Solving,120
INT0002913,APP001678,1,HR,81.1,On Hold,Average Performance,90
INT0002914,APP001678,2,Group Discussion,34.0,Fail,Strong Technical Skills,60
INT0002915,APP001679,1,Case Study,94.4,On Hold,Good Communication,60
INT0002916,APP001679,2,Group Discussion,36.6,Fail,Good Communication,90
INT0002917,APP001682,1,Group Discussion,40.2,On Hold,Needs Improvement,30
INT0002918,APP001682,2,Coding,63.3,Pass,Good Communication,120
INT0002919,APP001683,1,Technical,76.0,Pass,Needs Improvement,120
INT0002920,APP001683,2,Case Study,63.2,Fail,Strong Technical Skills,120
INT0002921,APP001683,3,Technical,33.1,Pass,Good Communication,120
INT0002922,APP001684,1,Technical,73.6,On Hold,Average Performance,120
INT0002923,APP001684,2,Coding,82.6,Fail,Excellent Problem Solving,60
INT0002924,APP001685,1,Aptitude,75.7,On Hold,Excellent Problem Solving,120
INT0002925,APP001685,2,Aptitude,58.9,Fail,Good Communication,60
INT0002926,APP001685,3,Coding,60.0,Fail,Good Communication,90
INT0002927,APP001685,4,Group Discussion,98.8,Pass,Needs Improvement,60
INT0002928,APP001686,1,Group Discussion,86.5,Fail,Average Performance,90
INT0002929,APP001687,1,Case Study,74.0,Pass,Strong Technical Skills,90
INT0002930,APP001687,2,Coding,76.5,On Hold,Excellent Problem Solving,45
INT0002931,APP001688,1,Group Discussion,89.8,On Hold,Average Performance,60
INT0002932,APP001688,2,Technical,67.9,On Hold,Good Communication,90
INT0002933,APP001689,1,Technical,40.6,Pass,Needs Improvement,45
INT0002934,APP001689,2,Coding,30.1,Fail,Average Performance,60
INT0002935,APP001689,3,Aptitude,49.7,Pass,Strong Technical Skills,60
INT0002936,APP001690,1,Aptitude,38.5,Pass,Excellent Problem Solving,45
INT0002937,APP001691,1,Technical,30.8,Fail,Good Communication,90
INT0002938,APP001691,2,Aptitude,43.9,On Hold,Average Performance,60
INT0002939,APP001692,1,HR,97.9,Pass,Needs Improvement,120
INT0002940,APP001692,2,Case Study,69.2,Pass,Good Communication,60
INT0002941,APP001693,1,HR,35.0,On Hold,Strong Technical Skills,60
INT0002942,APP001695,1,Case Study,61.6,Fail,Needs Improvement,60
INT0002943,APP001695,2,Case Study,53.4,On Hold,Good Communication,120
INT0002944,APP001695,3,Case Study,60.0,On Hold,Needs Improvement,45
INT0002945,APP001695,4,Technical,62.3,On Hold,Good Communication,60
INT0002946,APP001699,1,Group Discussion,67.6,On Hold,Strong Technical Skills,45
INT0002947,APP001699,2,Coding,63.5,Pass,Strong Technical Skills,45
INT0002948,APP001699,3,HR,65.7,On Hold,Excellent Problem Solving,90
INT0002949,APP001699,4,Technical,78.2,Fail,Strong Technical Skills,45
INT0002950,APP001700,1,HR,66.0,Pass,Good Communication,90
INT0002951,APP001701,1,Group Discussion,31.6,Fail,Needs Improvement,30
INT0002952,APP001701,2,Group Discussion,96.3,Fail,Average Performance,45
INT0002953,APP001701,3,Aptitude,91.3,On Hold,Strong Technical Skills,30
INT0002954,APP001703,1,Technical,89.3,Fail,Excellent Problem Solving,90
INT0002955,APP001706,1,Aptitude,42.7,Pass,Lacks Domain Knowledge,90
INT0002956,APP001706,2,Case Study,66.6,On Hold,Excellent Problem Solving,45
INT0002957,APP001706,3,Group Discussion,64.6,On Hold,Good Communication,60
INT0002958,APP001706,4,Technical,30.2,Fail,Strong Technical Skills,120
INT0002959,APP001707,1,Technical,98.9,Pass,Strong Technical Skills,120
INT0002960,APP001707,2,Coding,61.7,On Hold,Excellent Problem Solving,120
INT0002961,APP001707,3,Aptitude,96.1,Fail,Strong Technical Skills,45
INT0002962,APP001708,1,HR,46.1,Fail,Excellent Problem Solving,60
INT0002963,APP001708,2,Technical,51.6,Fail,Lacks Domain Knowledge,60
INT0002964,APP001708,3,HR,89.5,On Hold,Strong Technical Skills,90
INT0002965,APP001710,1,Technical,35.4,On Hold,Good Communication,30
INT0002966,APP001710,2,HR,42.8,Pass,Lacks Domain Knowledge,30
INT0002967,APP001711,1,Technical,58.0,Fail,Good Communication,120
INT0002968,APP001712,1,HR,50.8,Pass,Lacks Domain Knowledge,45
INT0002969,APP001712,2,Case Study,72.3,On Hold,Excellent Problem Solving,45
INT0002970,APP001712,3,Technical,55.9,Fail,Needs Improvement,45
INT0002971,APP001712,4,HR,87.8,Pass,Strong Technical Skills,90
INT0002972,APP001713,1,Technical,88.3,On Hold,Needs Improvement,120
INT0002973,APP001713,2,Technical,45.5,On Hold,Good Communication,45
INT0002974,APP001713,3,Aptitude,88.3,Fail,Needs Improvement,60
INT0002975,APP001715,1,HR,58.7,Fail,Needs Improvement,120
INT0002976,APP001715,2,Coding,74.9,Fail,Strong Technical Skills,45
INT0002977,APP001715,3,Aptitude,42.6,Pass,Good Communication,45
INT0002978,APP001715,4,Case Study,58.6,On Hold,Good Communication,60
INT0002979,APP001717,1,Coding,54.2,On Hold,Needs Improvement,120
INT0002980,APP001717,2,HR,40.8,Pass,Needs Improvement,45
INT0002981,APP001717,3,HR,75.0,On Hold,Excellent Problem Solving,90
INT0002982,APP001717,4,Case Study,70.1,Pass,Excellent Problem Solving,90
INT0002983,APP001718,1,Case Study,86.6,On Hold,Excellent Problem Solving,60
INT0002984,APP001719,1,Aptitude,81.7,On Hold,Good Communication,45
INT0002985,APP001719,2,Case Study,80.3,Fail,Needs Improvement,45
INT0002986,APP001719,3,Aptitude,82.9,On Hold,Excellent Problem Solving,30
INT0002987,APP001720,1,Group Discussion,45.2,On Hold,Lacks Domain Knowledge,45
INT0002988,APP001720,2,Aptitude,68.3,Fail,Strong Technical Skills,60
INT0002989,APP001720,3,Group Discussion,95.8,On Hold,Good Communication,30
INT0002990,APP001721,1,Technical,94.8,Fail,Needs Improvement,45
INT0002991,APP001721,2,Aptitude,30.0,On Hold,Lacks Domain Knowledge,60
INT0002992,APP001721,3,Case Study,38.3,Fail,Average Performance,45
INT0002993,APP001722,1,Case Study,58.9,Pass,Lacks Domain Knowledge,45
INT0002994,APP001722,2,Case Study,42.7,Pass,Lacks Domain Knowledge,120
INT0002995,APP001722,3,Aptitude,97.4,On Hold,Strong Technical Skills,90
INT0002996,APP001723,1,Case Study,55.1,Pass,Average Performance,120
INT0002997,APP001723,2,Aptitude,75.5,Fail,Strong Technical Skills,90
INT0002998,APP001723,3,Technical,89.1,On Hold,Strong Technical Skills,120
INT0002999,APP001723,4,Case Study,73.0,On Hold,Average Performance,90
INT0003000,APP001724,1,Coding,46.4,Fail,Average Performance,90
INT0003001,APP001724,2,Case Study,47.6,On Hold,Average Performance,60
INT0003002,APP001724,3,HR,69.4,Pass,Strong Technical Skills,60
INT0003003,APP001724,4,Group Discussion,45.8,On Hold,Excellent Problem Solving,30
INT0003004,APP001725,1,Aptitude,91.2,Fail,Good Communication,30
INT0003005,APP001725,2,Coding,58.7,Pass,Average Performance,120
INT0003006,APP001725,3,Coding,92.1,Fail,Average Performance,120
INT0003007,APP001725,4,Technical,98.9,On Hold,Excellent Problem Solving,30
INT0003008,APP001727,1,Coding,55.7,Fail,Strong Technical Skills,30
INT0003009,APP001728,1,Aptitude,47.8,Pass,Lacks Domain Knowledge,60
INT0003010,APP001728,2,Case Study,96.5,On Hold,Average Performance,90
INT0003011,APP001728,3,Aptitude,67.2,Pass,Good Communication,30
INT0003012,APP001729,1,Aptitude,98.3,On Hold,Average Performance,45
INT0003013,APP001729,2,HR,73.7,Fail,Strong Technical Skills,30
INT0003014,APP001729,3,Group Discussion,30.9,Pass,Good Communication,30
INT0003015,APP001730,1,Group Discussion,60.1,Pass,Strong Technical Skills,45
INT0003016,APP001730,2,Coding,90.1,Pass,Needs Improvement,60
INT0003017,APP001730,3,Aptitude,63.2,Fail,Good Communication,120
INT0003018,APP001730,4,Group Discussion,48.8,Pass,Needs Improvement,60
INT0003019,APP001733,1,Aptitude,33.4,On Hold,Lacks Domain Knowledge,90
INT0003020,APP001733,2,HR,96.4,On Hold,Lacks Domain Knowledge,120
INT0003021,APP001734,1,Technical,40.7,Fail,Needs Improvement,120
INT0003022,APP001735,1,Aptitude,77.1,Pass,Needs Improvement,90
INT0003023,APP001735,2,Technical,53.9,Pass,Needs Improvement,90
INT0003024,APP001735,3,Case Study,79.8,Fail,Strong Technical Skills,45
INT0003025,APP001735,4,HR,57.8,On Hold,Strong Technical Skills,60
INT0003026,APP001736,1,Aptitude,62.6,On Hold,Good Communication,30
INT0003027,APP001737,1,Technical,79.2,Fail,Excellent Problem Solving,120
INT0003028,APP001738,1,Case Study,35.0,On Hold,Average Performance,90
INT0003029,APP001738,2,Group Discussion,61.4,On Hold,Average Performance,45
INT0003030,APP001738,3,HR,59.8,On Hold,Average Performance,30
INT0003031,APP001739,1,HR,92.4,On Hold,Lacks Domain Knowledge,120
INT0003032,APP001739,2,Aptitude,70.7,On Hold,Average Performance,30
INT0003033,APP001739,3,Group Discussion,75.7,Pass,Needs Improvement,120
INT0003034,APP001740,1,Coding,38.9,Pass,Good Communication,30
INT0003035,APP001740,2,Technical,80.0,Fail,Excellent Problem Solving,60
INT0003036,APP001740,3,Technical,81.7,Pass,Good Communication,30
INT0003037,APP001742,1,Technical,48.9,On Hold,Excellent Problem Solving,60
INT0003038,APP001743,1,Case Study,39.7,Fail,Lacks Domain Knowledge,120
INT0003039,APP001743,2,Case Study,77.9,On Hold,Good Communication,60
INT0003040,APP001744,1,Group Discussion,85.1,Pass,Good Communication,45
INT0003041,APP001744,2,Technical,39.4,On Hold,Lacks Domain Knowledge,45
INT0003042,APP001744,3,Aptitude,72.3,Fail,Strong Technical Skills,90
INT0003043,APP001744,4,Coding,33.3,Pass,Strong Technical Skills,90
INT0003044,APP001745,1,Aptitude,51.6,On Hold,Lacks Domain Knowledge,45
INT0003045,APP001745,2,Aptitude,73.8,On Hold,Strong Technical Skills,45
INT0003046,APP001746,1,Technical,90.2,Pass,Needs Improvement,45
INT0003047,APP001746,2,HR,38.2,Pass,Needs Improvement,45
INT0003048,APP001746,3,Technical,88.4,Fail,Needs Improvement,45
INT0003049,APP001746,4,Case Study,87.2,Pass,Excellent Problem Solving,60
